second,Volt1,Volt2,Volt3,Volt4
-5.9900000E+00,+3.2050209E+00,+39.6737E-03,-6.2008E-03,+25.1047E-03
-5.9896000E+00,+3.2050209E+00,+27.7962E-03,+5.6767E-03,+5.6767E-03
-5.9892000E+00,+3.2125713E+00,+26.7401E-03,-8.3681E-03,-817.7E-06
-5.9888000E+00,+3.2093479E+00,+20.7776E-03,+4.0412E-03,+8.3683E-03
-5.9884000E+00,+3.1888164E+00,+25.1047E-03,-7.8363E-03,+24.5728E-03
-5.9880000E+00,+3.2050209E+00,+25.1047E-03,+8.3683E-03,+13.7590E-03
-5.9876000E+00,+3.2050209E+00,+25.1047E-03,-1.8815E-03,+14.8549E-03
-5.9872000E+00,+3.2050209E+00,+40.2133E-03,-8.3681E-03,+23.4769E-03
-5.9868000E+00,+3.2050209E+00,+25.1047E-03,+8.3683E-03,+8.3683E-03
-5.9864000E+00,+3.2050209E+00,+25.1047E-03,+8.3683E-03,+16.4583E-03
-5.9860000E+00,+3.2050209E+00,+38.0536E-03,+8.3683E-03,+25.1047E-03
-5.9856000E+00,+3.1893560E+00,+25.1047E-03,+8.3683E-03,+9.4397E-03
-5.9852000E+00,+3.2050209E+00,+31.0350E-03,+2.4379E-03,+25.1047E-03
-5.9848000E+00,+3.2050209E+00,+52.6303E-03,-8.3681E-03,+25.1047E-03
-5.9844000E+00,+3.2050209E+00,+27.2811E-03,+22.9283E-03,+9.4565E-03
-5.9840000E+00,+3.1920552E+00,+38.0703E-03,+4.5975E-03,+21.3339E-03
-5.9836000E+00,+3.2050209E+00,+16.4750E-03,+261.5E-06,+8.3683E-03
-5.9832000E+00,+3.2050209E+00,+21.8568E-03,+8.3683E-03,+8.3683E-03
-5.9828000E+00,+3.1898955E+00,+25.1047E-03,-21.8825E-03,+8.3683E-03
-5.9824000E+00,+3.2050209E+00,+31.5746E-03,+8.3683E-03,+14.8382E-03
-5.9820000E+00,+3.2163498E+00,+41.8411E-03,+8.3683E-03,+25.1047E-03
-5.9816000E+00,+3.1893817E+00,+25.6533E-03,+24.5560E-03,+25.1047E-03
-5.9812000E+00,+3.2007106E+00,+37.5308E-03,-8.3681E-03,+12.6785E-03
-5.9808000E+00,+3.1974537E+00,+25.1047E-03,-8.3681E-03,+25.1047E-03
-5.9804000E+00,+3.2050209E+00,+39.1328E-03,+5.6600E-03,+11.0765E-03
-5.9800000E+00,+3.2050209E+00,+27.2553E-03,-8.3681E-03,+22.9540E-03
-5.9796000E+00,+3.2050209E+00,+34.8315E-03,-8.3681E-03,+15.3778E-03
-5.9792000E+00,+3.1931524E+00,+25.1047E-03,+3.5003E-03,+25.1047E-03
-5.9788000E+00,+3.2050119E+00,+25.1047E-03,+8.3683E-03,+25.1047E-03
-5.9784000E+00,+3.2050209E+00,+25.1047E-03,+8.3683E-03,+13.2181E-03
-5.9780000E+00,+3.2050209E+00,+15.3959E-03,-1.3405E-03,+25.1047E-03
-5.9776000E+00,+3.2050209E+00,+37.5036E-03,-22.9358E-03,+25.1047E-03
-5.9772000E+00,+3.2023307E+00,+25.1047E-03,+8.3683E-03,+25.1047E-03
-5.9768000E+00,+3.1958336E+00,+32.6538E-03,+8.3683E-03,+17.5555E-03
-5.9764000E+00,+3.1926129E+00,+41.8411E-03,+8.3683E-03,+20.7763E-03
-5.9760000E+00,+3.2050209E+00,+25.6352E-03,+8.3683E-03,+8.8988E-03
