s,v,i
3184,3.29987,7.13626e-06
3185,3.29998,2.99725e-05
3186,3.30002,3.19188e-05
3187,3.30007,1.18073e-05
3188,3.29998,2.21874e-05
3189,3.29996,3.01023e-05
3190,3.29987,4.12609e-05
3191,3.29999,8.56351e-06
3192,3.29995,4.15196e-06
3193,3.29994,2.25767e-05
3194,3.29999,1.67379e-05
3195,3.29988,1.71271e-05
3196,3.29992,1.1418e-05
3197,3.3,2.7118e-05
3198,3.30003,4.13906e-05
3199,3.30004,1.44023e-05
3200,3.29995,2.77667e-05
3201,3.30005,3.36056e-05
3202,3.30011,3.82766e-05
3203,3.29992,1.49214e-05
3204,3.29996,1.77759e-05
3205,3.29983,2.43932e-05
3206,3.29998,2.68585e-05
3207,3.29988,1.24561e-05
3208,3.30007,1.75164e-05
3209,3.29983,1.46618e-05
3210,3.29999,1.90734e-05
3211,3.29978,7.65526e-06
3212,3.29996,2.37445e-05
3213,3.29982,1.15478e-05
3214,3.30004,2.01114e-05
3215,3.30007,1.41428e-05
3216,3.3,1.24561e-05
3217,3.29998,3.64601e-05
3218,3.29988,3.93146e-05
3219,3.29984,4.03526e-05
3220,3.29997,4.80072e-06
3221,3.30001,2.90643e-05
3222,3.30006,1.02503e-05
3223,3.29995,1.55701e-05
3224,3.30005,2.10197e-05
3225,3.29996,-7.78595e-07
3226,3.29991,2.93237e-05
3227,3.29995,1.56998e-05
3228,3.29998,3.45138e-05
3229,3.29999,2.15387e-05
3230,3.2999,5.83873e-06
3231,3.29998,1.56999e-05
3232,3.29991,8.30399e-06
3233,3.29995,2.77667e-05
3234,3.30001,2.51717e-05
3235,3.3,1.47916e-05
3236,3.29991,2.11494e-05
3237,3.29988,2.51717e-05
3238,3.3,1.36238e-05
3239,3.2999,2.54312e-05
3240,3.29986,1.58296e-05
3241,3.29989,3.06213e-05
3242,3.29992,3.39948e-05
3243,3.29988,2.28362e-05
3244,3.29992,2.49122e-05
3245,3.29999,1.99816e-05
3246,3.29993,2.95832e-05
3247,3.29993,5.83873e-06
3248,3.29997,1.53106e-05
3249,3.29989,1.29751e-05
3250,3.29989,2.9713e-05
3251,3.29997,3.15295e-05
3252,3.2999,1.40131e-05
3253,3.29986,8.17424e-06
3254,3.29994,2.64692e-05
3255,3.30003,1.63486e-05
3256,3.29992,1.66081e-05
3257,3.29995,1.68676e-05
3258,3.29988,3.21783e-05
3259,3.2999,2.69882e-05
3260,3.30004,2.33552e-05
3261,3.30003,1.67379e-05
3262,3.29993,4.20394e-05
3263,3.29987,2.12792e-05
3264,3.29997,3.04915e-05
3265,3.2999,3.51626e-05
3266,3.29991,3.13998e-05
3267,3.30008,2.62097e-05
3268,3.29996,3.01023e-05
3269,3.29989,8.95277e-06
3270,3.29983,2.46527e-05
3271,3.29993,2.56907e-05
3272,3.29996,3.76278e-05
3273,3.29992,2.19279e-05
3274,3.29994,2.41337e-05
3275,3.29986,2.37444e-05
3276,3.29997,3.38651e-05
3277,3.29997,3.62006e-05
3278,3.29995,3.71089e-05
3279,3.30008,3.21783e-05
3280,3.29999,2.608e-05
3281,3.2999,2.21874e-05
3282,3.29994,1.27156e-05
3283,3.29996,2.06304e-05
3284,3.29989,1.88139e-05
