s,v,i
6230,3.29983,1.79056e-05
6231,3.29994,2.3485e-05
6232,3.29999,3.64601e-05
6233,3.29998,2.11494e-05
6234,3.29999,2.73775e-05
6235,3.29998,4.6451e-05
6236,3.29998,2.11494e-05
6237,3.29992,1.67379e-05
6238,3.29995,2.89345e-05
6239,3.29987,1.33643e-05
6240,3.29993,7.65528e-06
6241,3.29997,2.8675e-05
6242,3.29997,3.78874e-05
6243,3.30007,7.52551e-06
6244,3.29991,3.42543e-05
6245,3.29987,2.82857e-05
6246,3.29991,2.54312e-05
6247,3.3,3.47733e-05
6248,3.30014,3.94444e-05
6249,3.29991,2.01114e-05
6250,3.29993,1.98519e-05
6251,3.29995,3.68493e-05
6252,3.29984,1.79056e-05
6253,3.29982,2.78965e-05
6254,3.29998,4.33369e-05
6255,3.2999,1.56998e-05
6256,3.29999,3.38651e-05
6257,3.29989,4.29477e-05
6258,3.30002,3.97039e-05
6259,3.29988,3.03618e-05
6260,3.29996,2.37444e-05
6261,3.29999,2.28362e-05
6262,3.30003,1.60891e-05
6263,3.3,1.62189e-05
6264,3.29995,1.42726e-05
6265,3.29984,1.19371e-05
6266,3.29988,3.21783e-05
6267,3.29994,2.90642e-05
6268,3.29999,2.46527e-05
6269,3.29989,2.89345e-05
6270,3.29978,2.05007e-05
6271,3.29985,2.36147e-05
6272,3.29992,3.94444e-05
6273,3.29997,2.16684e-05
6274,3.29994,1.84246e-05
6275,3.29993,3.94444e-05
6276,3.29996,5.34575e-05
6277,3.30012,2.73775e-05
6278,3.29996,2.608e-05
6279,3.30009,2.80262e-05
6280,3.2999,2.20577e-05
6281,3.29988,3.50328e-05
6282,3.29983,2.16684e-05
6283,3.29989,2.14089e-05
6284,3.29997,2.99725e-05
6285,3.29985,2.24469e-05
6286,3.29986,1.02503e-05
6287,3.29997,2.89345e-05
6288,3.29973,4.15204e-05
6289,3.29971,2.16684e-05
6290,3.30007,2.17982e-05
6291,3.30001,4.15204e-05
6292,3.29993,2.80262e-05
6293,3.29988,1.99817e-05
6294,3.30003,3.46436e-05
6295,3.29993,1.89436e-05
6296,3.3001,2.93238e-05
6297,3.29991,2.12792e-05
6298,3.30001,4.86567e-05
6299,3.29991,3.06213e-05
6300,3.3,1.90734e-05
6301,3.30001,8.04451e-06
6302,3.29986,2.80262e-05
6303,3.3,1.99817e-05
6304,3.30007,3.11403e-05
6305,3.29985,3.47733e-05
6306,3.30007,2.73775e-05
6307,3.29989,2.24469e-05
6308,3.29998,2.41337e-05
6309,3.2999,2.8156e-05
6310,3.30001,2.5042e-05
6311,3.29998,3.15295e-05
